building_year,n
1800,4
1820,1
1821,1
1840,2
1848,1
1849,2
1850,10
1851,1
1853,1
1854,3
1855,4
1856,12
1857,8
1858,10
1859,10
1860,40
1861,1
1862,3
1863,5
1864,12
1865,28
1866,15
1867,30
1868,61
1869,21
1870,165
1871,17
1872,32
1873,45
1874,82
1875,330
1876,134
1877,88
1878,136
1879,37
1880,1095
1881,47
1882,72
1883,110
1884,135
1885,952
1886,228
1887,263
1888,572
1889,247
1890,4893
1891,185
1892,282
1893,353
1894,184
1895,1908
1896,565
1897,340
1898,1010
1899,220
1900,19205
1901,730
1902,540
1903,816
1904,640
1905,4116
1906,1608
1907,1277
1908,1960
1909,860
1910,13974
1911,1142
1912,1939
1913,1368
1914,1449
1915,7083
1916,2697
1917,1867
1918,3357
1919,1488
1920,15685
1921,1400
1922,2069
1923,1982
1924,2406
1925,7183
1926,2806
1927,1455
1928,2282
1929,1249
1930,6449
1931,743
1932,785
1933,480
1934,584
1935,2582
1936,1111
1937,840
1938,1212
1939,956
1940,4807
1941,2015
1942,1515
1943,774
1944,966
1945,2458
1946,1859
1947,1968
1948,3351
1949,2090
1950,7100
1951,3259
1952,4408
1953,4085
1954,4039
1955,6457
1956,3587
1957,4175
1958,4082
1959,4417
1960,8204
1961,5770
1962,6257
1963,5769
1964,5248
1965,5898
1966,4681
1967,4202
1968,4089
1969,4019
1970,5745
1971,4844
1972,6247
1973,5892
1974,5933
1975,6674
1976,6832
1977,5953
1978,9603
1979,7676
1980,5879
1981,3806
1982,2625
1983,3853
1984,3989
1985,3710
1986,3001
1987,2727
1988,2718
1989,2942
1990,3282
1991,2991
1992,4400
1993,4040
1994,4647
1995,4166
1996,4906
1997,4745
1998,4784
1999,5439
2000,5230
2001,5064
2002,5735
2003,6295
2004,6645
2005,7033
2006,6629
2007,5020
2008,4118
2009,3960
2010,3678
2011,2765
2012,3164
2013,3459
2014,4252
2015,3824
2016,3731
2017,3917
2018,3812
2019,3562
2020,3724
2021,4001
2022,4276
2023,4015
2024,4681
2025,408
2026,1
